ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
0.48,-9.25,2.88,0.002182,0.035997,0.016362,25.5,-0.6875,-29.25,1,2024-11-14,11:04:23.252834
0.47,-9.26,2.94,-0.001091,0.062177,-0.007636,25.875,-1.0625,-29.25,1,2024-11-14,11:04:23.504792
0.39,-9.23,2.88,0.010908,0.075267,0.004363,25.875,-1.75,-29.25,1,2024-11-14,11:04:23.662489
0.38,-9.25,2.86,-0.002182,0.063268,-0.005454,26.25,-0.25,-28.875,1,2024-11-14,11:04:23.662489
0.36,-9.27,2.91,0.016362,-0.014181,0.007636,27.375,-1.5,-28.0625,1,2024-11-14,11:04:23.946371
0.46,-9.36,3.04,0.075267,0.09163,0.042542,27.0,-2.0625,-27.75,1,2024-11-14,11:04:24.099288
0.55,-9.57,3.46,-0.025089,0.387245,-0.019635,28.5,-1.75,-27.75,1,2024-11-14,11:04:24.256491
0.15,-9.59,3.46,0.403607,0.490874,0.119991,30.6875,-2.5,-23.375,1,2024-11-14,11:04:24.505944
-0.6,-9.46,4.96,1.026472,0.60432,0.142899,33.0625,-5.875,-17.875,1,2024-11-14,11:04:24.692622
-1.42,-7.03,5.97,0.453786,-0.311978,-0.142899,33.6875,-9.375,-14.375,1,2024-11-14,11:04:24.894425
-0.89,-7.2,6.6,0.49851,-0.261799,0.067632,33.0,-10.0625,-15.5,1,2024-11-14,11:04:25.139371
-0.57,-6.81,6.57,0.099266,-0.226893,0.112356,32.1875,-12.375,-16.6875,1,2024-11-14,11:04:25.515339
0.68,-6.8,8.46,0.090539,-0.390517,0.19635,29.375,-13.5,-18.1875,1,2024-11-14,11:04:25.749103
2.22,-5.51,7.85,1.941679,-1.075559,0.902117,25.375,-17.1875,-19.5625,1,2024-11-14,11:04:25.914806
2.11,1.02,7.69,1.306815,-0.405789,0.908662,18.0625,-27.5625,-16.5,1,2024-11-14,11:04:25.914806
1.58,-1.03,10.96,0.179987,0.549779,0.105811,14.0625,-31.25,-11.0,1,2024-11-14,11:04:26.132752
-0.68,-1.35,12.57,0.305433,0.124355,-0.020726,15.875,-33.0625,-9.375,1,2024-11-14,11:04:26.396675
-0.29,-0.27,9.88,0.207258,0.031634,-0.061087,16.5625,-32.5625,-5.875,1,2024-11-14,11:04:26.646532
-0.49,-0.71,10.02,-0.030543,-0.178896,0.129809,16.75,-33.25,-6.25,1,2024-11-14,11:04:26.879326
-0.17,-1.96,10.16,0.457058,-0.189805,0.075267,15.375,-33.25,-6.25,1,2024-11-14,11:04:27.141425
-0.21,0.51,9.94,0.128718,0.069813,-0.422152,15.75,-34.0,-4.375,1,2024-11-14,11:04:27.329529
-0.91,2.42,9.05,0.39379,-0.138536,-0.885755,19.0,-31.375,-2.6875,1,2024-11-14,11:04:27.345520
-1.7,-0.22,8.24,0.021817,0.618501,-0.437423,22.25,-28.0625,-2.0,1,2024-11-14,11:04:27.580436
-2.19,2.39,8.72,0.795216,0.640318,-0.370882,27.1875,-25.25,2.75,1,2024-11-14,11:04:27.796607
-0.87,2.12,10.14,-0.290161,-0.797397,0.509418,27.1875,-23.75,4.0,1,2024-11-14,11:04:27.967571
0.38,0.98,10.08,1.355903,-0.201804,1.253365,25.0625,-27.5,1.6875,1,2024-11-14,11:04:28.155479
2.76,5.2,4.3,3.023783,0.100356,0.613047,16.5625,-29.75,11.875,1,2024-11-14,11:04:28.357757
1.16,6.76,2.08,0.416697,0.258527,-0.759218,15.875,-24.5,21.0,1,2024-11-14,11:04:28.668162
-0.95,9.18,1.99,1.359175,-0.865029,-0.074176,19.0625,-21.0625,21.0,1,2024-11-14,11:04:28.900033
2.55,9.03,0.83,1.468258,-0.6305,0.14399,25.0625,-13.25,22.0,1,2024-11-14,11:04:29.070934
2.12,10.1,-1.92,-0.283616,0.711222,0.554142,26.1875,-11.0625,21.6875,1,2024-11-14,11:04:29.101919
4.74,8.34,0.8,-0.202895,-0.062177,0.646863,24.0625,-15.0625,22.5,1,2024-11-14,11:04:29.369996
2.92,9.19,0.69,0.629409,-0.301069,0.064359,22.1875,-16.875,22.0625,1,2024-11-14,11:04:29.605869
3.5,8.8,-1.02,0.194168,-0.017453,-0.038179,23.6875,-15.0625,22.5,1,2024-11-14,11:04:29.789862
4.27,8.27,-1.07,0.346884,0.127627,-0.174533,23.6875,-13.5625,22.875,1,2024-11-14,11:04:30.005933
3.99,8.95,-1.62,0.002182,0.237801,-0.18326,23.0,-12.0,23.6875,1,2024-11-14,11:04:30.223992
3.96,8.81,-1.17,-0.231256,0.189805,-0.081812,23.375,-10.5625,23.6875,1,2024-11-14,11:04:30.396389
3.39,8.77,-0.47,-0.070904,0.023998,-0.159261,22.1875,-11.5625,25.25,1,2024-11-14,11:04:30.626257
3.47,9.15,-0.91,0.095993,-0.098175,0.004363,21.875,-11.5625,25.25,1,2024-11-14,11:04:30.829135
3.25,9.07,-1.18,0.032725,0.129809,-0.068722,21.5,-10.1875,25.5625,1,2024-11-14,11:04:31.142038
3.26,8.94,-0.92,-0.006545,0.044724,-0.006545,21.5,-10.1875,26.0,1,2024-11-14,11:04:31.328075
3.32,8.98,-0.82,0.040361,0.01309,-0.006545,21.1875,-10.875,25.5625,1,2024-11-14,11:04:31.577756
