ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
0.88,-3.35,-9.21,-0.003272,-0.002182,-0.001091,29.0625,15.25,1.6875,2,2024-11-14,11:05:57.948451
0.9,-3.33,-9.15,-0.017453,-0.002182,-0.001091,29.0625,14.875,1.25,2,2024-11-14,11:05:58.197310
0.9,-3.28,-9.18,-0.010908,0.003272,-0.001091,29.0625,14.5,1.25,2,2024-11-14,11:05:58.510151
0.91,-3.28,-9.17,-0.022907,0.0,-0.001091,28.375,14.1875,0.875,2,2024-11-14,11:05:58.663738
0.89,-3.22,-9.22,-0.001091,0.002182,0.002182,28.75,14.5,1.75,2,2024-11-14,11:05:58.943847
0.89,-3.25,-9.22,-0.002182,-0.001091,0.001091,29.0625,14.875,0.875,2,2024-11-14,11:05:59.179436
0.9,-3.16,-9.18,-0.010908,0.004363,0.0,28.375,14.875,2.0625,2,2024-11-14,11:05:59.431902
0.88,-3.19,-9.21,0.006545,-0.001091,0.002182,29.5,14.875,1.75,2,2024-11-14,11:05:59.463696
0.91,-3.19,-9.19,-0.004363,0.004363,0.0,29.5,14.875,0.875,2,2024-11-14,11:05:59.635569
0.89,-3.18,-9.24,-0.005454,0.002182,-0.001091,30.1875,14.875,0.75,2,2024-11-14,11:05:59.884550
0.93,-3.18,-9.26,-0.004363,0.001091,-0.003272,29.875,14.5,0.875,2,2024-11-14,11:05:59.996086
0.98,-3.25,-9.25,-0.03927,0.008727,-0.007636,29.0625,14.5,2.5,2,2024-11-14,11:06:00.217986
0.95,-3.25,-9.23,0.032725,0.008727,0.0,29.5,15.25,0.875,2,2024-11-14,11:06:00.500046
0.92,-3.27,-9.2,-0.005454,0.004363,-0.001091,28.375,15.25,0.875,2,2024-11-14,11:06:00.637680
0.95,-3.2,-9.24,0.005454,0.001091,-0.004363,28.375,15.25,1.25,2,2024-11-14,11:06:00.852561
0.97,-3.21,-9.22,-0.002182,0.0,0.002182,28.6875,14.5,1.25,2,2024-11-14,11:06:01.053732
0.94,-3.22,-9.21,0.0,-0.002182,0.002182,29.5,14.875,1.25,2,2024-11-14,11:06:01.366554
0.93,-3.23,-9.2,-0.001091,0.002182,-0.001091,28.75,15.25,1.75,2,2024-11-14,11:06:01.568767
0.94,-3.22,-9.18,-0.001091,0.003272,0.0,28.375,14.875,0.5625,2,2024-11-14,11:06:01.583759
0.97,-3.21,-9.22,-0.005454,-0.004363,0.0,29.0625,15.25,1.75,2,2024-11-14,11:06:01.819015
0.96,-3.21,-9.2,-0.005454,-0.004363,-0.001091,28.375,14.875,2.0625,2,2024-11-14,11:06:02.084386
0.97,-3.22,-9.2,0.008727,-0.001091,0.0,28.6875,14.875,1.75,2,2024-11-14,11:06:02.318024
0.94,-3.17,-9.21,-0.011999,0.008727,0.0,29.0625,14.5,2.0625,2,2024-11-14,11:06:02.613671
0.96,-3.15,-9.2,-0.006545,0.001091,-0.001091,28.6875,14.5,0.875,2,2024-11-14,11:06:02.799565
0.97,-3.12,-9.2,-0.009817,0.011999,-0.002182,27.6875,14.1875,0.5625,2,2024-11-14,11:06:02.799565
0.98,-3.15,-9.22,0.003272,0.003272,-0.001091,29.0625,15.25,2.875,2,2024-11-14,11:06:02.973604
